"0","1","2","id","transect","block","site_status"
2,1.75678355705626,1.60268419758288,"GS002",1,1,"Native"
1,1,1,"GS004",1,1,"Native"
2,1.53362406443005,1.34949846380668,"GS005",1,1,"Native"
2,1.75497248105111,1.60027509923186,"GS006",1,1,"Native"
1,1,1,"GS025",1,2,"Native"
2,1.58180774019175,1.39749810221488,"GS026",1,2,"Native"
1,1,1,"GS039",1,3,"Native"
1,1,1,"GS040",1,3,"Native"
1,1,1,"GS041",1,3,"Native"
2,1.82587674896549,1.69985421222377,"GS042",1,3,"Native"
1,1,1,"GS045",1,3,"Native"
1,1,1,"GS046",1,3,"Native"
1,1,1,"GS056",2,1,"Native"
2,1.70124472185562,1.53173827790066,"GS058",2,1,"Native"
1,1,1,"GS059",2,1,"Native"
1,1,1,"GS076",2,2,"Native"
1,1,1,"GS077",2,2,"Native"
1,1,1,"GS089",2,3,"Native"
2,1.51702470976442,1.33369783090922,"GS090",2,3,"Native"
1,1,1,"GS092",2,2,"Native"
2,1.79463399090071,1.65460837628905,"GS095",2,2,"Native"
1,1,1,"GS096",2,2,"Native"
1,1,1,"GS097",2,2,"Native"
1,1,1,"GS122",3,1,"Native"
2,1.99871259734738,1.99742822976698,"GS123",3,1,"Native"
1,1,1,"GS124",3,1,"Native"
1,1,1,"GS132",3,2,"Native"
2,1.99296152162338,1.98601329718327,"GS133",3,2,"Native"
3,2.90237811689519,2.80518807615627,"GS134",3,2,"Native"
2,1.92072378220406,1.85220578245552,"GS161",3,3,"Native"
1,1,1,"GS162",3,3,"Native"
1,1,1,"GS165",3,3,"Native"
1,1,1,"GS166",3,3,"Native"
2,1.95586261722129,1.91516086936912,"GS167",3,3,"Native"
2,1.99902760351629,1.99805693903929,"GS170",4,1,"Native"
1,1,1,"GS171",4,1,"Native"
1,1,1,"GS174",4,1,"Native"
2,1.77132054210538,1.62226654977995,"GS175",4,1,"Native"
1,1,1,"GS176",4,1,"Native"
1,1,1,"GS178",4,1,"Native"
1,1,1,"GS190",4,2,"Native"
1,1,1,"GS192",4,2,"Native"
2,1.90157344339511,1.8194696858421,"GS195",4,2,"Native"
2,1.41571789480687,1.24476771010542,"GS197",4,2,"Native"
1,1,1,"GS215",4,3,"Native"
2,1.52004641112918,1.33654700843848,"GS216",4,3,"Native"
1,1,1,"GS218",4,3,"Native"
1,1,1,"GS221",4,3,"Native"
1,1,1,"GS222",4,3,"Native"
1,1,1,"GS224",4,3,"Native"
1,1,1,"GS225",4,3,"Native"
1,1,1,"GS253",5,2,"Native"
2,1.81438226156843,1.68294612179398,"GS254",5,2,"Native"
1,1,1,"GS255",5,2,"Native"
1,1,1,"GS256",5,2,"Native"
2,1.8926947251752,1.80464957434898,"GS257",5,2,"Native"
2,1.76992269279247,1.62036439292378,"GS267",5,3,"Native"
3,2.56362515830346,2.38102851051481,"GS268",5,3,"Native"
2,1.92164976052684,1.85381601502226,"GS284",6,1,"Ginger"
1,1,1,"GS285",6,1,"Ginger"
2,1.99945059563012,1.99890174437046,"GS286",6,1,"Ginger"
3,2.70991158052384,2.46380965661144,"GS287",6,1,"Ginger"
2,1.98969721587833,1.97958725368408,"GS288",6,1,"Ginger"
3,2.76001245309482,2.55490006835048,"GS289",6,1,"Ginger"
2,1.5249066826227,1.3411549954537,"GS296",6,2,"Ginger"
3,2.84515625457945,2.73428400273738,"GS297",6,2,"Ginger"
1,1,1,"GS298",6,2,"Ginger"
1,1,1,"GS299",6,2,"Ginger"
2,1.93207585959651,1.87212503281473,"GS305",6,3,"Ginger"
4,3.35978037448992,3.0051408956404,"GS314",7,1,"Ginger"
1,1,1,"GS315",7,1,"Ginger"
1,1,1,"GS316",7,1,"Ginger"
2,1.38049128918431,1.2166604133205,"GS317",7,1,"Ginger"
1,1,1,"GS318",7,1,"Ginger"
1,1,1,"GS319",7,1,"Ginger"
1,1,1,"GS320",7,1,"Ginger"
2,1.88300041050376,1.78871883364655,"GS333",7,2,"Ginger"
2,1.99997988727708,1.99995977529577,"GS334",7,2,"Ginger"
2,1.47691555146448,1.29698966304009,"GS335",7,2,"Ginger"
1,1,1,"GS336",7,2,"Ginger"
1,1,1,"GS337",7,2,"Ginger"
2,1.7296453969224,1.56727357417606,"GS338",7,2,"Ginger"
3,2.70388611583522,2.53508266491676,"GS339",7,2,"Ginger"
1,1,1,"GS340",7,2,"Ginger"
2,1.99851650056991,1.99703703052429,"GS341",7,2,"Ginger"
3,2.2992861045889,1.95090992102502,"GS356",7,3,"Ginger"
2,1.9185655313413,1.84846261388028,"GS357",7,3,"Ginger"
2,1.93270817268914,1.87324607547629,"GS358",7,3,"Ginger"
1,1,1,"GS359",7,3,"Ginger"
2,1.9988688037425,1.99773995104961,"GS360",7,3,"Ginger"
2,1.45246027254459,1.27558876980701,"GS361",7,3,"Ginger"
2,1.45662122801137,1.27917908240164,"GS373",8,1,"Ginger"
1,1,1,"GS374",8,1,"Ginger"
2,1.64265732914824,1.46298974516962,"GS388",8,2,"Ginger"
1,1,1,"GS389",8,2,"Ginger"
1,1,1,"GS390",8,2,"Ginger"
3,2.54809698541536,2.33907571687092,"GS391",8,2,"Ginger"
2,1.58500058069289,1.40079522229177,"GS392",8,2,"Ginger"
1,1,1,"GS401",8,3,"Ginger"
2,1.55098060090522,1.36641601867185,"GS402",8,3,"Ginger"
2,1.38196544713533,1.21780910590506,"GS403",8,3,"Ginger"
2,1.45696774132128,1.27947900789752,"GS404",8,3,"Ginger"
1,1,1,"GS405",8,3,"Ginger"
1,1,1,"GS410",9,1,"Ginger"
2,1.58616095807603,1.40199719322309,"GS411",9,1,"Ginger"
5,4.37157660469545,3.90894231332468,"GS412",9,1,"Ginger"
2,1.89642677882885,1.81085197513454,"GS413",9,1,"Ginger"
2,1.38392705625159,1.21934131706532,"GS422",9,2,"Ginger"
3,2.57222381423073,2.36749191505086,"GS423",9,2,"Ginger"
1,1,1,"GS424",9,2,"Ginger"
1,1,1,"GS432",9,3,"Ginger"
2,1.88064342974237,1.78488448228239,"GS433",9,3,"Ginger"
2,1.99854875180318,1.99710135980921,"GS434",9,3,"Ginger"
3,2.62149102487159,2.39915175606572,"GS450",10,1,"Ginger"
2,1.80576460094277,1.67047128034924,"GS451",10,1,"Ginger"
1,1,1,"GS452",10,1,"Ginger"
2,1.52380712114042,1.34010977824486,"GS453",10,1,"Ginger"
2,1.52848351242613,1.34456614252656,"GS454",10,1,"Ginger"
3,2.95056837173441,2.90209005205414,"GS455",10,1,"Ginger"
1,1,1,"GS470",10,2,"Ginger"
1,1,1,"GS472",10,2,"Ginger"
2,1.96078563307675,1.92429478186003,"GS474",10,2,"Ginger"
2,1.8049506444613,1.66930179124452,"GS475",10,2,"Ginger"
2,1.83542798710925,1.71414284285428,"GS476",10,2,"Ginger"
3,2.96266403571331,2.92572119029214,"GS477",10,2,"Ginger"
1,1,1,"GS478",10,2,"Ginger"
1,1,1,"GS479",10,2,"Ginger"
2,1.99523664743102,1.99051471537316,"GS497",10,3,"Ginger"
1,1,1,"GS499",10,3,"Ginger"
1,1,1,"GS500",10,3,"Ginger"
1,1,1,"GS501",10,3,"Ginger"
1,1,1,"GS502",10,3,"Ginger"
2,1.55195049874738,1.36737356171428,"GS503",10,3,"Ginger"
2,1.6755592933583,1.50086923932996,"GS504",10,3,"Ginger"
3,2.77350352961097,2.58115881873274,"GS505",10,3,"Ginger"
3,2.89378684092164,2.8040273558436,"GS506",10,3,"Ginger"
